,title,titleUrl,time,channelName,category
15, Get to know the Cerrado,https://www.youtube.com/watch?v=kYm3fuHq6eM,2021-07-16 10:28:23.713000-03:00,WWF-Brasil,Nonprofits & Activism
16," WEEKLY VLOG - workouts, Gymshark event, car chats + more! 🥰",https://www.youtube.com/watch?v=JZeKXX8ZfrI,2021-07-16 08:52:13.938000-03:00,Georgia Richards,Howto & Style
17, [PyBr2020] Keynote: Ana Paula Gomes  & Encerramento Oficial - Sexta-Feira - Dia 06/11 #pybr2020,https://www.youtube.com/watch?v=3assmXh0R5Q,2021-07-15 21:09:07.229000-03:00,pythonbrasil,Entertainment
18, Convert Strings to CamelCase | Python | Codewars,https://www.youtube.com/watch?v=l_2Gmi0jtqE,2021-07-15 20:05:55.433000-03:00,HewyPy,People & Blogs
19, Python Regex Sub - How to Replace a Pattern in a String?,https://www.youtube.com/watch?v=CAwIa8ngYI8,2021-07-15 20:04:06.270000-03:00,Finxter - Create Your Coding Business,Education
20, [5 Minute Tutorial] Regular Expressions (Regex) in Python,https://www.youtube.com/watch?v=UQQsYXa1EHs,2021-07-15 19:09:23.521000-03:00,Kite,Science & Technology
21, Regular Expressions (Regex) Tutorial: How to Match Any Pattern of Text,https://www.youtube.com/watch?v=sa-TUpSx1JA,2021-07-15 18:53:33.413000-03:00,Corey Schafer,Education
22," O 1º POC-VLOG! (TUDO VEGANO) ☺ pão de queijo, fast-food e café gelado com leite vegetal",https://www.youtube.com/watch?v=B96jIxjVHZQ,2021-07-15 18:47:04.563000-03:00,Rolê De Vegano,People & Blogs
23, É ISSO QUE ACONTECE QUANDO VOCÊ TENTA ATRAVESSAR UM RIO COM UM RENEGADE,https://www.youtube.com/watch?v=EBxeA3JBWMQ,2021-07-15 13:18:33.963000-03:00,Zé Alvarenga,People & Blogs
24, VOCÊ QUER UM VLOG ALEATÓRIO? ASSISTA ESSE 🤣,https://www.youtube.com/watch?v=zFw7zcx4PTA,2021-07-15 13:04:30.235000-03:00,Zé Alvarenga,People & Blogs
25, 4 maneiras de voltar a perder peso,https://www.youtube.com/watch?v=mb7OSpJuG_M,2021-07-15 06:03:53.356000-03:00,Leandro Twin,Sports
26, Como Calcular Macros na Dieta Vegana  | O mito da proteína alta,https://www.youtube.com/watch?v=2YIDWPbeLz4,2021-07-14 11:29:22.733000-03:00,Giancarlo Eidler,Sports
27, A solução para o Falso Magro,https://www.youtube.com/watch?v=_Y3T1BoFMT8,2021-07-14 11:19:07.908000-03:00,Giancarlo Eidler,Sports
28, Dieta vegana para ganhar massa muscular,https://www.youtube.com/watch?v=foiKmCD9yDA,2021-07-14 11:13:56.944000-03:00,Leandro Twin,Sports
29," COMPRINHAS na SHEIN *experimentando BIQUÍNI, calça JEANS e cabelo FAKE*",https://www.youtube.com/watch?v=5gqPOfCDe38,2021-07-14 09:59:02.674000-03:00,picezah,People & Blogs
30, COMO EU EMAGRECI MAIS DE 30KG SOZINHA,https://www.youtube.com/watch?v=wQiOHSrcL8c,2021-07-14 09:50:31.459000-03:00,picezah,People & Blogs
31, O QUE EU COMO EM UM DIA | Cardápio nutri para ganho de massa,https://www.youtube.com/watch?v=6iOl4NvfQPs,2021-07-14 09:48:52.189000-03:00,Audrey Bernini,People & Blogs
32, Get to know the Cerrado,https://www.youtube.com/watch?v=kYm3fuHq6eM,2021-07-14 09:44:34.634000-03:00,WWF-Brasil,Nonprofits & Activism
33, The Cerrado: Brazil's Unique Biome,https://www.youtube.com/watch?v=YIBMfYesP0A,2021-07-14 09:44:07.181000-03:00,James Wolfe, Film & Animation
34, Como montar uma dieta para perder gordura corporal,https://www.youtube.com/watch?v=3u1shpbWSIo,2021-07-14 09:27:05.093000-03:00,Leandro Twin,Sports
35, PAREI DE PERDER PESO MESMO COM DEFICIT CALÓRICO CORRETO,https://www.youtube.com/watch?v=FE2d6i2d810,2021-07-14 09:18:06.739000-03:00,Leandro Twin,Sports
36, Como montar dieta vegana *passo a passo*,https://www.youtube.com/watch?v=UoaDhm0rgE4,2021-07-14 09:11:08.122000-03:00,Leandro Twin,Sports
37, DIÁRIO DA DIETA #34 - EMAGRECI 25 KILOS • FEIRINHA DA SEMANA • REEDUCAÇÃO ALIMENTAR,https://www.youtube.com/watch?v=aUZA9RJ6zNk,2021-07-14 09:07:25.729000-03:00,Giih Malta,People & Blogs
38, Rotina da manhã - acordando as 05:00 | becoming that girl 🧘🏻‍♀️✨,https://www.youtube.com/watch?v=Mm7XxIZSqb0,2021-07-13 17:46:28.647000-03:00,Letícia Costa,People & Blogs
39, My 4-Day High Protein Vegan Meal Plan,https://www.youtube.com/watch?v=hWDd4jTGT7Q,2021-07-13 16:28:10.603000-03:00,Fit Men Cook,Howto & Style
40, Beginner High Protein Vegan Meal Plan for FAT LOSS,https://www.youtube.com/watch?v=oNt8bo_PsB4,2021-07-13 16:17:37.928000-03:00,Jaclyn Wood,Howto & Style
41, HIGH PROTEIN VEGAN MEALS | 100G+ (CALORIES & MACROS),https://www.youtube.com/watch?v=nW02tSZeDEc,2021-07-13 15:54:53.809000-03:00,Veggiekins,People & Blogs
42, HIGH PROTEIN Vegan Full Day of Eating (simple meals) **165g Protein**,https://www.youtube.com/watch?v=pKw_vp8QLmo,2021-07-13 15:31:26.171000-03:00,Joe Delaney,People & Blogs
43, WHAT I EAT IN A DAY Vegan Gains | HIGH PROTEIN Vegan Recipes,https://www.youtube.com/watch?v=l-KDvzhzVXw,2021-07-13 13:07:17.308000-03:00,Rachel Ama,People & Blogs
44," COOKIES DE PASTA DE AMENDOIM SUPER SIMPLES (VEGANOS, SEM GLÚTEN) | PLANTTE",https://www.youtube.com/watch?v=DEU5I6Ka8G4,2021-07-13 13:00:25.393000-03:00,PLANTTE,People & Blogs
45," PULL DAY WORKOUT for STRENGTH & SIZE (Back, Traps, Biceps, Shoulders)",https://www.youtube.com/watch?v=nsX8H2G4Njk,2021-07-13 12:52:54.092000-03:00,Buff Dudes,Entertainment
46, Low Calorie Fried Foods!? | 6 Easy Macro-Friendly Air Fryer Recipes,https://www.youtube.com/watch?v=Dxe6s5Ppyx8,2021-07-13 12:44:53.239000-03:00,Flexible Dieting Lifestyle, Film & Animation
47, 44 Calorie Cookies | High Protein Chocolate Chip Cookie Recipe,https://www.youtube.com/watch?v=BtfO5BV9EQE,2021-07-13 12:42:59.708000-03:00,Flexible Dieting Lifestyle, Film & Animation
48, EMPADÃO DE PALMITO CLÁSSICO SUPER CREMOSO PER-FEI-ÇÃO | TNM Vegg,https://www.youtube.com/watch?v=SL883CGkxkY,2021-07-13 12:40:12.680000-03:00,TÁ NA MESA VEGG,People & Blogs
49, O QUE EU COMO EM UM DIA 1500KCAL | CARDÁPIO NUTRICIONISTA,https://www.youtube.com/watch?v=51RpIwhbXOs,2021-07-13 12:21:31.460000-03:00,Audrey Bernini,People & Blogs
50, I have LOTS to tell y'all... + makeup & skincare routine & answering your questions!,https://www.youtube.com/watch?v=FHCDj-zn_4E,2021-07-13 12:19:47.470000-03:00,Bailey Sito,People & Blogs
51," WEEK IN MY LIFE | Staying Fit, Keeping Busy + Being Productive!",https://www.youtube.com/watch?v=vB4mYQytgpc,2021-07-13 12:15:52.434000-03:00,Kris Hui,People & Blogs
52, VLOG / dia na minha vida!,https://www.youtube.com/watch?v=MGkKGqXB4Lc,2021-07-13 12:14:54.581000-03:00,Tiffany Moraes,People & Blogs
53, VLOG: UM DIA INTEIRO COMIGO NO FOCO + RECEITINHA DE DOCE FIT!,https://www.youtube.com/watch?v=9gCCLK0XuWQ,2021-07-12 21:27:07.526000-03:00,Mi Ruback,People & Blogs
54, Olympian vs Pro Crossfitter | Can A Triathlete Compete With A CrossFit Athlete?,https://www.youtube.com/watch?v=bO891_osebQ,2021-07-12 18:06:37.196000-03:00,Global Triathlon Network,Sports
55, BOLO DE BANANA VEGANO COM GOTAS DE CHOCOLATE (SEM GLÚTEN) | PLANTTE,https://www.youtube.com/watch?v=4iam58wr_VY,2021-07-12 17:22:26.429000-03:00,PLANTTE,People & Blogs
56, retorno na nutri + almoço em sp | vlog,https://www.youtube.com/watch?v=miffSZcz-uI,2021-07-12 17:18:53.131000-03:00,Gabi Sahade,People & Blogs
57, UM DIA DE PRO PRÉ COMPETIÇÃO  *Conheça a rotina de Alcione Santos*,https://www.youtube.com/watch?v=IOGEE6tBDu4,2021-07-12 17:02:16.106000-03:00,Adaptogen,Sports
58, CARNE VEGANA DE GLUTEN (CARNE DE SEITAN • SÓ 2 INGREDIENTES!!),https://www.youtube.com/watch?v=xx9HJulZ3ko,2021-07-12 13:21:59.101000-03:00,Flavio Giusti,Howto & Style
59, FRANGO VEGANO REALISTA COM INGREDIENTES SIMPLES E BARATO | TESTEI SEITAN #TesteBacana #4,https://www.youtube.com/watch?v=1VyifJ6mOcA,2021-07-12 13:14:44.629000-03:00,Tayná Mota - Vegana Bacana,People & Blogs
60, Covid-19: why your life will never be the same again | The Economist,https://www.youtube.com/watch?v=pFaGbtDJFwA,2021-07-12 13:03:32.777000-03:00,The Economist,News & Politics
61, WHAT I EAT IN A DAY |  what I’m eating to fuel for intense workouts!!!,https://www.youtube.com/watch?v=58f8y7TY49c,2021-07-12 11:59:25.021000-03:00,Kylie Ross,People & Blogs
62," O SERIADO QUE CÁUSOU BRIGA COM O MEU MARIDO, E CHEGOU A BIKE NOVA! 😎",https://www.youtube.com/watch?v=y8VMhNCDtLU,2021-07-12 11:57:40.015000-03:00,"Rachel Meibergen, a GRINGA BRASILEIRA",Entertainment
63, MINHA NOVA DIETA PARA SECAR,https://www.youtube.com/watch?v=xBK9lF8spoc,2021-07-11 19:58:38.833000-03:00,Canal Ana Bochi,People & Blogs
64, BOLO DE BANANA VEGANO COM GOTAS DE CHOCOLATE (SEM GLÚTEN) | PLANTTE,https://www.youtube.com/watch?v=4iam58wr_VY,2021-07-11 10:52:07.033000-03:00,PLANTTE,People & Blogs
65," BROWNIE DE BANANA COM PASTA DE AMENDOIM (VEGANO, SEM GLÚTEN) | PLANTTE",https://www.youtube.com/watch?v=BOb4CDbcGbQ,2021-07-11 10:45:56.461000-03:00,PLANTTE,People & Blogs
66, COMPRINHAS NA SHEIN ❤️😱 EXPECTATIVA X REALIDADE,https://www.youtube.com/watch?v=hHasmoUVV3U,2021-07-10 23:55:01.358000-03:00,Débora Priscila,People & Blogs
67, A VERDADEIRA HISTÓRIA DE PEDRO DOM,https://www.youtube.com/watch?v=E9UssfLATAY,2021-07-10 23:30:14.168000-03:00,Jaqueline Guerreiro,Entertainment
68, I Tried 90s Food And Diet Trends For A Day | Living Like It's 1994,https://www.youtube.com/watch?v=A_IYwNteI8Q,2021-07-10 17:59:43.592000-03:00,Will Tennyson,People & Blogs
69, Jupiter sounds (so strange!) NASA-Voyager recording,https://www.youtube.com/watch?v=e3fqE01YYWs,2021-07-10 10:09:34.222000-03:00,hryzunik,Science & Technology
70, Can you solve Dongle's Difficult Dilemma? - Dennis E. Shasha,https://www.youtube.com/watch?v=8xXslshomOs,2021-07-10 09:05:02.611000-03:00,TED-Ed,Education
71, Can you solve the Trojan War riddle? - Dennis E. Shasha,https://www.youtube.com/watch?v=MJ5CRZFSlAU,2021-07-10 09:04:01.655000-03:00,TED-Ed,Education
72, Can you cheat death by solving this riddle? - Shravan S K,https://www.youtube.com/watch?v=N3JL3z4e2Qs,2021-07-10 09:03:33.785000-03:00,TED-Ed,Education
73, The Day the Dinosaurs Died – Minute by Minute,https://www.youtube.com/watch?v=dFCbJmgeHmA,2021-07-10 08:41:12.794000-03:00,Kurzgesagt – In a Nutshell,Education
74, What Happened Before History? Human Origins,https://www.youtube.com/watch?v=dGiQaabX3_o,2021-07-10 08:40:54.574000-03:00,Kurzgesagt – In a Nutshell,Education
75, The Beginning of Everything -- The Big Bang,https://www.youtube.com/watch?v=wNDGgL73ihY,2021-07-10 08:40:15.271000-03:00,Kurzgesagt – In a Nutshell,Education
76, Frigideira Antiaderente -BOA  E MAIS BARATA QUE DA POLISHOP 2020,https://www.youtube.com/watch?v=VUvE60yASck,2021-07-09 12:57:53.874000-03:00,Vídeo Cápsula - Tati Aramenn,People & Blogs
77, RESENHA PANELAS BRINOX CERAMIC LIFE SMART VANILLA APÓS UM ANO DE USO!,https://www.youtube.com/watch?v=-zp_7hab_R8,2021-07-09 12:56:38.368000-03:00,Letícia Moura Blog,People & Blogs
78, BECOMING A CROSSFIT ATHLETE,https://www.youtube.com/watch?v=8HHWxtSCgho,2021-07-09 12:33:29.662000-03:00,Bronson Holbeck,People & Blogs
79, The 6 Biomes of Brazil and Their Characteristics,https://www.youtube.com/watch?v=pK7X_zKLH-0,2021-07-09 10:51:11.463000-03:00,Your Brazilian Spot,Science & Technology
80," WEEK OF WORKOUTS for a Fit Hourglass Physique | weights, HIIT, functional training, hiking & more!",https://www.youtube.com/watch?v=YiUhSktrzng,2021-07-08 21:12:29.467000-03:00,Livfiit,People & Blogs
81," COMO TRINCAR O ABDOMEN, TREINO DE INICIANTES !!!",https://www.youtube.com/watch?v=__zyNB3WAa0,2021-07-08 21:12:01.839000-03:00,Renato Cariani,Sports
82, We Tried Chloe Ting's Fat Loss Diet (Fake Eater?),https://www.youtube.com/watch?v=7VU2Dy96Btc,2021-07-08 19:13:43.909000-03:00,Will Tennyson,People & Blogs
83, Anglicismes du quebec,https://www.youtube.com/watch?v=cP7oTszwA_Q,2021-07-08 18:22:00.629000-03:00,Je parle québécois,Entertainment
84, D'où vient l'accent du Québec ? Histoire et origine du français canadien,https://www.youtube.com/watch?v=Oyf8tz_IoyQ,2021-07-08 18:13:31.504000-03:00,Je parle québécois,Entertainment
85, Billie Eilish - when the party's over,https://www.youtube.com/watch?v=pbMwTqkKSps,2021-07-08 13:49:10.424000-03:00,BillieEilishVEVO,Music
86, 10 Great Songs For English Fluency & How to Learn with Music,https://www.youtube.com/watch?v=fwrD70WeSzs,2021-07-08 13:47:27.850000-03:00,Learn English With TV Series,Education
87," VLOGÃO: montanha russa de emoções, decoração e mais destralhamentos",https://www.youtube.com/watch?v=Bh1ODv2tFPo,2021-07-08 11:42:32.987000-03:00,Nath Araujo,People & Blogs
88, THE DONUT SHOWDOWN | Girlfriend vs. Boyfriend Donut Eating Challenge | Vegan Donuts,https://www.youtube.com/watch?v=Zy1xCD2tw00,2021-07-08 11:38:01.050000-03:00,Will Tennyson,People & Blogs
89, Ink Drawings and Blackwork by Valentin,https://www.youtube.com/watch?v=xMragiee7fk,2021-07-08 11:28:29.102000-03:00,My Modern Met,Howto & Style
90, I Followed My Girlfriends Vegan Diet For 24 Hours...,https://www.youtube.com/watch?v=or1SszdUsfQ,2021-07-08 11:24:21.152000-03:00,Will Tennyson,People & Blogs
91," como me planejo, resumos, estudo no parque ✦ study vlog",https://www.youtube.com/watch?v=n6Nw5Y0kwkk,2021-07-08 11:19:18.903000-03:00,agra chan,People & Blogs
92, HWPO Training in Mat Fraser's NEW Home Gym! | HWPO Training,https://www.youtube.com/watch?v=AdFjrsa4nSQ,2021-07-08 11:11:08.107000-03:00,FRA5ER,Sports
93, I Followed The Average American Diet (How Bad Is It?),https://www.youtube.com/watch?v=Phq3xkZOchE,2021-07-07 23:48:56.761000-03:00,Will Tennyson,People & Blogs
94," becoming the best version of ME | ""that girl""",https://www.youtube.com/watch?v=vZQUwuyL2nw,2021-07-07 21:22:16.495000-03:00,Kylie Ross,People & Blogs
95, REAGINDO AO TREINO DO FLOW NO CT DO CARIANI.,https://www.youtube.com/watch?v=RhPEciSIONg,2021-07-07 19:32:56.517000-03:00,Gabriel Arones - Fitness Flexível,People & Blogs
96," Novas compras na SHEIN, pôr do sol em SURREY, sorvete, praia e dog park no Canadá #PaulaTodoDia",https://www.youtube.com/watch?v=gBYSnB0SWPI,2021-07-07 18:36:09.669000-03:00,Paula no Canadá,Travel & Events
97, My TOP FAT LOSS TIPS That Changed My Life | From FAT To SHREDDED,https://www.youtube.com/watch?v=vx_n3HU_QPU,2021-07-07 18:24:10.017000-03:00,Will Tennyson,People & Blogs
98, O FIM DE GON FREECS? O QUE ACONTECEU COM ELE E OS DETALHES DE SUA ORIGEM - HUNTER X HUNTER,https://www.youtube.com/watch?v=tu6q_0IVHaE,2021-07-07 13:29:44.996000-03:00,Canal MangaQ,Entertainment
99, Aprenda a fazer um café da manhã monstro 💪,https://www.youtube.com/watch?v=qTkFM7g9rLo,2021-07-07 13:21:23.621000-03:00,Gustavo Gugu,People & Blogs
100, Is Kendall Jenner A Fashion Icon Or Just Skinny?,https://www.youtube.com/watch?v=q2Kp9_N1dB4,2021-07-07 13:20:16.354000-03:00,Around The Globe,People & Blogs
101, What I Eat In A Day: Realistic Full Day Of Eating On Vacation + Leg Day,https://www.youtube.com/watch?v=VfVLj-mJJ2U,2021-07-06 15:11:25.070000-03:00,Will Tennyson,People & Blogs
102, Can We Survive Jean-Claude Van Damme's Workout Routine? | Movie vs Reality,https://www.youtube.com/watch?v=fSQBmSIpPW8,2021-07-06 13:34:24.433000-03:00,Buff Dudes,Entertainment
103, STRENGTH TEST - We Try Our ONE REP MAXES!! | BULK BROS,https://www.youtube.com/watch?v=D_NtdJgWFLo,2021-07-06 13:23:07.854000-03:00,Buff Dudes,Entertainment
104, How to Gain Muscle - EASYGAINERS BEGINNERS GUIDE!,https://www.youtube.com/watch?v=0wwLQPJeySs,2021-07-06 13:21:00.523000-03:00,Buff Dudes,Entertainment
105," VLOGÃO: adaptação dos gatos, cabelo novo, 3 anos de namoro e mais!",https://www.youtube.com/watch?v=cnUKqKyvFG0,2021-07-06 13:18:12.488000-03:00,Nath Araujo,People & Blogs
106, 93187631,https://www.youtube.com/watch?v=7xanN0hwnHk,2021-07-06 12:33:37.321000-03:00,Centauro Esporte,Sports
107, É dia de feira!,https://www.youtube.com/watch?v=HBIPvX1SzFc,2021-07-06 10:31:58.278000-03:00,Paola Carosella,Entertainment
108, tour no apartamento em são paulo ✦ morando sozinha (第5話),https://www.youtube.com/watch?v=J5ngRrXgd2g,2021-07-06 10:19:28.457000-03:00,agra chan,People & Blogs
109," ROTINA ÀS 5H DA MANHÃ | treino, suplementos e alimentção",https://www.youtube.com/watch?v=xzWn8W2GMgE,2021-07-05 16:59:33.782000-03:00,Audrey Bernini,People & Blogs
110," ROTINA DE TREINO | alimentação, look treino e projeto 2021",https://www.youtube.com/watch?v=Hp1evRGPcJ8,2021-07-05 16:56:02.332000-03:00,Audrey Bernini,People & Blogs
111," VLOGÃO: desabafo, reforma, novos móveis p casa, reforma da loja e mais!",https://www.youtube.com/watch?v=_VD55Od9C60,2021-07-04 22:45:35.633000-03:00,Nath Araujo,People & Blogs
112, How To Get Enough Protein On The Vegan Diet,https://www.youtube.com/watch?v=w3Ylh2fhuw4,2021-07-04 15:55:13.623000-03:00,Will Tennyson,People & Blogs
113, WE BUILT THE WORLDS BIGGEST BEER PONG GAME | Strength Challenge!,https://www.youtube.com/watch?v=jpQcM8hHqSs,2021-07-04 15:44:42.107000-03:00,Buff Dudes,Entertainment
114, Build a Tableau COVID-19 Dashboard,https://www.youtube.com/watch?v=mvpGTXRLIQc,2021-07-02 23:51:15.255000-03:00,Anthony B. Smoak,People & Blogs
115," 10,000 Calorie EAT & BURN Challenge | Can You Out Train A Bad Diet? | Ultimate FOOD CHALLENGE",https://www.youtube.com/watch?v=cQuh6ppyoew,2021-07-02 18:02:19.939000-03:00,Will Tennyson,People & Blogs
116, Now United - Legends (Official Music Video),https://www.youtube.com/watch?v=ol7q3jrmuh0,2021-07-01 14:16:22.501000-03:00,NOW UNITED,Music
117, DIA COMPLETO DE DIETA FLEXÍVEL *recuperando o shape*,https://www.youtube.com/watch?v=ewJV73t4hV0,2021-07-01 13:15:45.446000-03:00,Gabriel Arones - Fitness Flexível,People & Blogs
118, Como montar uma dieta ovo lacto vegetariana,https://www.youtube.com/watch?v=VdtwW39bdzE,2021-07-01 12:22:56.390000-03:00,Leandro Twin,Sports
119, Como montar dieta vegana *passo a passo*,https://www.youtube.com/watch?v=UoaDhm0rgE4,2021-07-01 12:15:46.023000-03:00,Leandro Twin,Sports
120, Man launches himself in self-made rocket to prove flat Earth theory,https://www.youtube.com/watch?v=iwku5Alsi04,2021-06-30 19:48:47.472000-03:00,CBS News,News & Politics
121, VARA DA INFÂNCIA | EMBRULHA PRA VIAGEM,https://www.youtube.com/watch?v=fCGWFDTUz0I,2021-06-30 17:34:46.336000-03:00,Embrulha Pra Viagem,Comedy
122, The Beginning of Everything -- The Big Bang,https://www.youtube.com/watch?v=wNDGgL73ihY,2021-06-30 17:33:25.990000-03:00,Kurzgesagt – In a Nutshell,Education
123, Colação de Grau 2020/2 - Engenharia Florestal (FT/UnB) - 30/06/2021,https://www.youtube.com/watch?v=-Q-dSQWpCnE,2021-06-30 16:01:36.657000-03:00,Faculdade de Tecnologia - UnB,Education
124, Risotto de abóbora alla Paola,https://www.youtube.com/watch?v=Mxc3RQE4yAg,2021-06-30 13:11:18.645000-03:00,Paola Carosella,Entertainment
125, SALSICHA VEGANA | CACHORRO QUENTE/NOT DOG | TNM Vegg,https://www.youtube.com/watch?v=HWO8uHfLCRY,2021-06-30 13:04:49.841000-03:00,TÁ NA MESA VEGG,People & Blogs
126, Human impacts on Biodiversity | Ecology and Environment | Biology | FuseSchool,https://www.youtube.com/watch?v=wXJiHr8jWBs,2021-06-30 10:50:25.745000-03:00,FuseSchool - Global Education,Education
127, Edexcel GCSE Geography - Global Biomes and Ecosystems,https://www.youtube.com/watch?v=lV51FEOPOB4,2021-06-30 09:56:17.216000-03:00,Pearson UK Educators,Education
128, Herpes Labial como curar rapidamente,https://www.youtube.com/watch?v=tEzlh2FqysY,2021-06-29 11:53:51.568000-03:00,Camila Miano,People & Blogs
129, Herpes labial: O que se deve (e não deve) fazer? | Drauzio Comenta #62,https://www.youtube.com/watch?v=_qQEOM-Gqqo,2021-06-29 11:49:13.934000-03:00,Drauzio Varella,Science & Technology
130, I did 108 Surya Namaskar for 30 Days. Here’s what happened.,https://www.youtube.com/watch?v=5O0a0VqPN7Q,2021-06-28 23:36:36.086000-03:00,Anita Bokepalli,People & Blogs
131, VLOGÃO: DIA DOS NAMORADOS + Receita do chef Lusca :),https://www.youtube.com/watch?v=5OApdZUk_mQ,2021-06-28 17:35:49.330000-03:00,Nath Araujo,People & Blogs
132, LULA CRITICA MILITARIZAÇÃO DO ESTADO ENQUANTO GENERAIS SE ORGANIZAM PARA 2022,https://www.youtube.com/watch?v=FoS3g0wjJFo,2021-06-28 11:39:51.441000-03:00,Meteoro Brasil,Entertainment
133, UNBOXING: novo iMac 2021 AAAAAAAAAAA meu novo computador!,https://www.youtube.com/watch?v=bOK-rGxv8OI,2021-06-28 11:02:30.160000-03:00,Nath Araujo,People & Blogs
134, We Expose the WORST DIETS OF ALL TIME (Don't Try These!),https://www.youtube.com/watch?v=gFBt0q9gOm4,2021-06-28 10:48:15.528000-03:00,Buff Dudes,Entertainment
135, I Walked Only On My Toes For An Entire Week...,https://www.youtube.com/watch?v=Iy-I0z-Z5-0,2021-06-27 21:59:27.500000-03:00,pigmie,Howto & Style
136, a week in the life of a columbia university student,https://www.youtube.com/watch?v=nAVmd6GcoRk,2021-06-27 21:58:38.653000-03:00,Camilla Khan,People & Blogs
137, How an experienced dog mother teaches her 8 weeks old puppies to be calm. www.sentfromheaven.at,https://www.youtube.com/watch?v=KHBe0jT6S3U,2021-06-27 21:58:12.839000-03:00,Sent from Heaven,People & Blogs
138," O QUE COMEMOS HOJE | FEIRA, PIJAMAS BONITOS E COMIDA QUENTINHA #36 | TNM Vegg",https://www.youtube.com/watch?v=41XfagXSo2Q,2021-06-26 13:44:06.898000-03:00,TÁ NA MESA VEGG,People & Blogs
139," VLOG - I BOUGHT A CAR!! + gym, car jams, clothing haul and more 🥳",https://www.youtube.com/watch?v=h2K-FKDWI7k,2021-06-26 08:30:04.882000-03:00,Georgia Richards,Howto & Style
140, Fittest Teens Take On ‘90s Celebrity Trivia,https://www.youtube.com/watch?v=l1Jo-mIxgKo,2021-06-26 08:26:43.358000-03:00,CrossFit Games,Sports
141, The Day the Dinosaurs Died – Minute by Minute,https://www.youtube.com/watch?v=dFCbJmgeHmA,2021-06-26 08:18:22.687000-03:00,Kurzgesagt – In a Nutshell,Education
142, Genetic Engineering Will Change Everything Forever – CRISPR,https://www.youtube.com/watch?v=jAhjPd4uNFY,2021-06-26 08:16:20.912000-03:00,Kurzgesagt – In a Nutshell,Education
143, REAGINDO ÀS MINHAS FOTOS GORDA 😱😱 OBESA AOS 18 ANOS *como emagreci*,https://www.youtube.com/watch?v=4q44Of996vA,2021-06-26 08:11:32.536000-03:00,Luana Mendes,Sports
144, Creating Bar in Bar Charts in Tableau,https://www.youtube.com/watch?v=-qXfjweVuqQ,2021-06-25 15:31:43.342000-03:00,Andy Kriebel,Howto & Style
